Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
5366 |             38.28 |              7.44 |              2.68 |              0.58 |              3.48 |               3.94 
5367 |              8.36 |              1.65 |              0.84 |              0.05 |             85.88 |               1.41 
5368 |             73.01 |              7.82 |              3.73 |               4.1 |            761.39 |               4.17 
5369 |             64.07 |              7.87 |               3.7 |              3.13 |            762.88 |               4.17 
5370 |             78.97 |              7.84 |               3.7 |              4.81 |            731.59 |               4.17 
5371 |             58.48 |                13 |              2.19 |              0.23 |            106.08 |               3.81 
5372 |             48.67 |             11.32 |              1.43 |              0.22 |            304.58 |               2.83 
5373 |             108.5 |              17.1 |              2.12 |              4.24 |              87.5 |               3.15 
5374 |             115.5 |              17.1 |              2.08 |              4.99 |             54.25 |               3.15 
5375 |              37.4 |              8.47 |              1.43 |              0.15 |            242.25 |                1.7 
5376 |             89.04 |             11.73 |              1.48 |              4.57 |            687.12 |               2.86 
5377 |            104.16 |              16.2 |              2.77 |              3.96 |            524.16 |               3.19 
5378 |            110.88 |             16.21 |              2.74 |              4.64 |             495.6 |               3.19 
5379 |            110.88 |             16.21 |              2.74 |              4.64 |             495.6 |               3.19 
5380 |             115.5 |             16.89 |              2.85 |              4.83 |            516.25 |               3.33 
5381 |            179.58 |             44.72 |              2.07 |              0.15 |            398.52 |               6.15 
5382 |            191.88 |             46.67 |              3.03 |              0.32 |            573.18 |               3.44 
5383 |             15.81 |              3.44 |              0.93 |              0.16 |              4.65 |                2.6 
5384 |             23.56 |              5.36 |              1.04 |              0.22 |              7.44 |               2.48 
5385 |             63.21 |              5.34 |              1.03 |              4.75 |            393.45 |               2.45 
5386 |             67.86 |              15.7 |              1.46 |              0.08 |              3.12 |                1.4 
5387 |            249.28 |             58.12 |              4.49 |              0.46 |             88.56 |                8.2 
5388 |               9.1 |              1.53 |              1.05 |              0.14 |              45.5 |                0.7 
5389 |             18.69 |              2.72 |               1.6 |              0.62 |              71.2 |                  0 
5390 |            336.67 |             73.81 |              2.96 |              6.94 |             693.9 |              13.36 
5391 |             268.6 |             55.52 |              2.19 |              7.02 |             479.4 |              10.03 
5392 |             78.48 |             12.75 |               6.1 |              0.65 |              54.5 |               4.58 
5393 |             46.11 |              5.26 |              2.58 |              2.44 |            231.42 |               2.78 
5394 |             40.89 |              5.29 |              2.55 |              1.86 |            232.29 |               2.78 
5395 |             50.46 |              5.26 |              2.55 |              2.94 |            214.02 |               2.78 
5396 |             30.94 |              6.04 |              2.57 |              0.34 |             30.03 |               2.37 
5397 |              27.3 |               5.6 |              1.86 |              0.32 |             31.98 |               2.57 
5398 |             125.8 |              9.81 |              3.25 |              8.81 |               136 |               1.87 
5399 |            234.84 |             34.31 |              9.37 |              7.48 |            248.52 |               5.02 
5400 |            241.68 |             34.45 |              9.39 |              7.96 |            424.08 |               4.33 
5401 |              27.3 |               5.6 |              1.86 |              0.32 |            204.36 |               2.57 
5402 |               5.9 |              0.69 |              0.23 |              0.32 |                28 |               0.32 
5403 |             19.88 |              3.59 |              2.12 |              0.25 |             19.17 |               1.63 
5404 |             40.56 |              7.46 |              4.38 |              0.45 |             37.44 |               4.68 
5405 |             27.55 |              5.08 |              2.91 |              0.32 |             16.15 |               2.85 
5406 |               8.8 |              1.14 |              1.27 |               0.2 |              13.2 |               1.08 
5407 |              86.7 |              5.13 |              6.34 |              4.57 |             496.4 |               4.59 
5408 |              78.2 |              5.17 |              6.31 |              3.62 |             498.1 |               4.59 
5409 |              93.5 |              5.13 |              6.31 |              5.25 |             467.5 |               4.59 
5410 |            215.76 |             20.27 |              3.98 |             14.62 |            481.74 |               3.72 
5411 |             31.92 |              5.97 |               3.4 |               0.4 |             30.78 |                  0 
5412 |              7.56 |              1.49 |              0.54 |               0.1 |              4.41 |               0.55 
5413 |             37.84 |              7.88 |              2.97 |              0.26 |                22 |               3.34 
5414 |             193.8 |             18.26 |              7.11 |              11.4 |            510.72 |               3.42 
5415 |            202.92 |             19.81 |              8.48 |             11.29 |            503.88 |               5.47 
5416 |             38.95 |              7.47 |              3.59 |              0.39 |               9.5 |               3.61 
5417 |            202.92 |             19.81 |              8.48 |             11.29 |            503.88 |               5.47 
5418 |             149.5 |             26.32 |               2.6 |              4.69 |             391.3 |               2.21 
5419 |            108.75 |             26.23 |              2.59 |              0.17 |               390 |               2.25 
5420 |             84.96 |             20.46 |              1.81 |              0.18 |               5.9 |               3.89 
5421 |             13.16 |              3.39 |              0.37 |              0.04 |              6.58 |                  0 
5422 |              3.72 |              0.47 |              0.14 |              0.16 |              4.96 |                  0 
5423 |              7.15 |              1.23 |              0.74 |              0.12 |              2.75 |               0.61 
5424 |                63 |             16.37 |               1.4 |              0.14 |               5.6 |                2.8 
5425 |             22.25 |              5.16 |              1.14 |              0.09 |             16.02 |               2.23 
5426 |             12.16 |              2.45 |              0.91 |              0.15 |              6.84 |               0.91 
5427 |             54.25 |              3.01 |              2.68 |              4.09 |            474.25 |               1.75 
5428 |             61.25 |              3.01 |              2.64 |               4.8 |             444.5 |               1.75 
5429 |            154.28 |             11.94 |              1.88 |              11.4 |            333.64 |               1.44 
5430 |               158 |             14.32 |              4.88 |              9.72 |               442 |                2.2 
5431 |              68.2 |              8.23 |              1.94 |              3.91 |             427.8 |               2.79 
5432 |              58.9 |              8.26 |              1.91 |              2.93 |            429.35 |               2.79 
5433 |              74.4 |              8.23 |              1.91 |              4.62 |            398.35 |               2.79 
5434 |                45 |              8.51 |               2.4 |              0.15 |             415.5 |               4.65 
5435 |             35.84 |              7.21 |              1.41 |              0.13 |            917.76 |               3.97 
5436 |              77.5 |             10.37 |              2.29 |              3.95 |            457.25 |               3.88 
5437 |              68.2 |              10.4 |              2.26 |              2.98 |             458.8 |               3.88 
5438 |              83.7 |             10.37 |              2.26 |              4.67 |             427.8 |               3.88 
5439 |                75 |              9.18 |              3.04 |              4.05 |             421.5 |               4.65 
5440 |                66 |              9.22 |              3.01 |              3.03 |               423 |               4.65 
5441 |                84 |              9.18 |              3.01 |              4.96 |               390 |               4.65 
5442 |             22.35 |              4.86 |                 2 |              0.07 |            414.22 |               2.98 
5443 |             55.44 |              4.87 |              2.05 |               3.9 |            445.06 |               2.93 
5444 |             47.74 |               4.9 |                 2 |              2.91 |             446.6 |               2.93 
5445 |              61.6 |              4.87 |                 2 |               4.6 |             415.8 |               2.93 
5446 |             56.09 |              4.74 |              3.77 |              2.69 |             142.2 |               1.58 
5447 |              74.7 |             13.13 |              1.81 |              2.72 |            285.52 |               4.65 
5448 |             361.2 |             70.24 |              1.12 |              10.5 |              99.4 |               1.82 
5449 |             45.98 |              5.95 |              5.18 |              1.57 |            694.54 |               3.87 
5450 |                36 |              7.85 |              1.73 |              0.41 |             460.8 |                3.6 
5451 |            176.08 |             33.06 |             10.09 |              0.72 |              9.92 |               8.93 
5452 |                15 |              2.67 |              1.75 |              0.07 |              52.5 |                  1 
5453 |                39 |              7.94 |              2.92 |              0.45 |               663 |               3.74 
5454 |              2.76 |              0.61 |              0.13 |              0.04 |              1.68 |               0.23 
5455 |              83.3 |             19.82 |              2.69 |              0.69 |             12.25 |               7.11 
5456 |             58.24 |              8.44 |              6.97 |              1.24 |            698.88 |               4.55 
5457 |             54.12 |             12.48 |              2.85 |              0.31 |             38.94 |               2.71 
5458 |                95 |             22.45 |              4.12 |              0.53 |                70 |               4.75 
5459 |             30.26 |              7.24 |              1.25 |              0.18 |             302.6 |               2.85 
5460 |            252.34 |             58.88 |              5.99 |               1.1 |             203.5 |              17.46 
5461 |              94.4 |              21.9 |              2.24 |              0.35 |            155.76 |               1.89 
5462 |             52.48 |             12.26 |              1.19 |              0.31 |             88.32 |               3.58 
5463 |             89.09 |             12.03 |              1.33 |              4.47 |             77.01 |               4.08 
5464 |               3.4 |               0.8 |              0.07 |              0.02 |             29.29 |               0.29 
5465 |            184.68 |             16.44 |              4.83 |              11.4 |            670.32 |               2.05 
5466 |            119.14 |             20.99 |              0.97 |              4.01 |            753.48 |               2.09 
5467 |              1.02 |              0.11 |              0.01 |              0.06 |              6.74 |               0.03 
5468 |             193.8 |             19.68 |              4.86 |             11.04 |             558.6 |               3.88 
5469 |                 8 |               1.5 |              0.07 |              0.24 |              29.3 |               0.27 
5470 |              5.31 |              0.71 |              0.07 |              0.27 |             26.73 |               0.26 
5471 |            200.64 |             19.11 |              4.74 |             11.99 |            574.56 |               4.33 
5472 |            136.85 |              24.1 |              0.89 |               4.7 |            494.27 |               4.67 
5473 |              3.72 |              0.45 |              0.03 |              0.22 |             18.78 |               0.19 
5474 |            200.64 |             19.11 |              4.74 |             11.99 |            574.56 |               4.33 
5475 |               9.3 |              1.22 |              0.06 |              0.51 |              14.7 |               0.29 
5476 |             23.04 |              5.06 |               0.5 |              0.29 |             43.52 |               2.11 
5477 |             54.56 |             12.64 |               1.6 |              0.39 |            473.44 |                4.4 
5478 |               364 |             30.05 |              2.13 |             27.48 |               308 |               4.02 
5479 |            300.96 |             13.95 |              1.44 |             27.27 |            304.38 |               3.59 
5480 |             329.6 |              78.4 |               2.8 |              0.58 |             28.84 |               3.71 
5481 |              32.2 |              7.64 |              0.27 |              0.06 |              49.4 |               0.36 
5482 |              35.6 |              7.41 |              0.27 |              0.56 |              51.8 |               0.36 
5483 |              34.4 |              7.41 |              0.27 |              0.43 |                52 |               0.36 
5484 |              36.6 |              7.41 |              0.26 |              0.68 |              47.8 |               0.36 
5485 |             26.75 |              5.32 |              2.05 |               0.3 |              32.1 |               2.14 
5486 |             56.16 |              3.76 |              1.02 |              4.23 |              49.4 |               0.42 
5487 |            161.88 |             13.59 |              5.75 |             10.21 |            469.68 |               3.88 
5488 |             193.8 |             15.14 |              6.48 |             12.65 |            563.16 |               2.74 
5489 |            161.88 |             13.59 |              5.75 |             10.21 |            469.68 |               3.88 
5490 |             15.84 |              3.09 |              1.33 |              0.18 |             15.84 |               1.52 
5491 |             19.84 |              3.89 |              1.88 |              0.19 |            160.58 |               2.05 
5492 |            161.88 |             13.59 |              5.75 |             10.21 |            469.68 |               3.88 
5493 |             65.52 |             14.35 |              2.34 |              0.47 |               156 |               2.81 
5494 |              68.2 |             14.93 |              2.43 |              0.48 |            531.65 |               2.94 
5495 |             41.85 |              9.14 |              1.49 |              0.29 |            460.35 |                  0 
5496 |             14.14 |                 3 |               0.7 |              0.17 |              80.8 |               1.62 
5497 |                27 |                 6 |              1.25 |              0.24 |             490.5 |                2.4 
5498 |                27 |              5.96 |              1.23 |              0.24 |             520.5 |                2.4 
5499 |             60.45 |              5.98 |              1.27 |              4.06 |             551.8 |               2.33 
5500 |              52.7 |              6.01 |              1.24 |              3.08 |            553.35 |               2.33 
5501 |             66.65 |              5.98 |              1.24 |              4.76 |            522.35 |               2.33 
5502 |            175.56 |             14.46 |              4.99 |             11.19 |            608.76 |               2.28 
5503 |             39.04 |              1.08 |              1.28 |              3.34 |             68.16 |               0.35 
5504 |              1.44 |              0.29 |              0.07 |              0.02 |              0.88 |               0.14 
5505 |            126.84 |               9.2 |              4.95 |              8.97 |            789.73 |               3.02 
5506 |             200.9 |             22.59 |              9.36 |               9.7 |             578.2 |               8.09 
5507 |             17.28 |               3.7 |               0.8 |              0.29 |              4.86 |               2.05 
5508 |                29 |              5.96 |              2.71 |              0.12 |             577.1 |               3.04 
5509 |                57 |                 6 |              2.76 |               3.3 |             607.5 |                  3 
5510 |              49.5 |              6.03 |              2.73 |              2.49 |             607.5 |                  3 
5511 |                63 |                 6 |              2.73 |              3.88 |               582 |                  3 
5512 |             25.08 |              5.95 |              1.08 |              0.17 |              2.64 |               2.24 
5513 |              6.67 |              1.36 |              0.49 |              0.09 |             13.05 |               1.16 
5514 |              43.2 |             10.51 |              0.84 |              0.12 |                30 |                0.9 
5515 |               0.9 |              0.13 |               0.1 |              0.02 |              0.09 |               0.07 
5516 |              69.3 |              8.12 |              1.02 |              4.19 |             419.1 |               4.46 
5517 |                 6 |              0.76 |              0.84 |              0.14 |              29.5 |               0.75 
5518 |             12.24 |              1.54 |              1.71 |              0.29 |             60.18 |               1.53 
5519 |              0.92 |              0.15 |              0.09 |              0.02 |              1.84 |               0.11 
5520 |             66.33 |             16.96 |              1.22 |              0.33 |              4.02 |                  0 
5521 |              96.6 |               2.6 |             11.93 |              4.56 |            164.85 |               1.26 
5522 |             11.52 |              1.95 |              1.09 |              0.22 |              6.12 |               1.44 
5523 |              62.7 |             10.73 |              5.15 |              1.37 |             478.8 |                7.6 
5524 |             70.49 |               7.3 |               3.5 |              4.02 |            283.29 |               5.19 
5525 |             31.35 |              6.14 |              2.56 |              0.35 |              45.6 |               3.42 
5526 |              83.3 |             21.54 |              1.64 |               0.2 |              7.35 |               6.37 
5527 |              75.6 |             15.42 |              5.22 |              0.84 |             89.04 |               7.73 
5528 |             38.88 |              7.86 |               3.7 |              0.29 |            347.04 |               4.18 
5529 |              37.4 |              8.47 |              1.43 |              0.15 |             65.45 |                1.7 
5530 |             21.25 |              2.65 |              3.26 |              0.44 |              47.6 |               2.38 
5531 |               110 |             26.44 |              2.61 |              0.17 |                 5 |               2.25 
5532 |                82 |              21.5 |              1.84 |              0.18 |               8.2 |               6.56 
5533 |             17.25 |              4.13 |              0.95 |              0.04 |                 6 |               1.43 
5534 |               3.4 |               0.8 |              0.07 |              0.02 |              5.63 |               0.29 
5535 |             14.26 |              2.55 |              1.14 |              0.28 |               9.3 |               1.43 
5536 |             41.85 |              9.14 |              1.49 |              0.29 |             94.55 |               1.86 
5537 |                27 |                 6 |              1.25 |              0.24 |             136.5 |                2.4 
5538 |              38.4 |              8.14 |              0.99 |              0.77 |               1.6 |               4.48 
5539 |             19.36 |              3.35 |                 1 |              0.63 |              6.16 |                2.2 
5540 |                20 |              4.31 |              1.64 |              0.09 |                53 |                2.3 
5541 |              62.7 |             10.73 |              5.15 |              1.37 |              28.5 |                7.6 
5542 |              34.2 |              6.82 |              1.87 |               0.7 |               1.8 |               1.98 
5543 |             34.65 |              6.72 |               2.1 |              0.63 |              46.2 |               3.04 
5544 |             34.65 |              8.64 |              0.82 |              0.23 |              0.99 |               2.48 
5545 |              22.5 |              4.61 |              1.73 |              0.27 |              28.5 |                4.2 
5546 |             31.05 |              5.13 |              2.56 |              0.81 |              10.8 |               0.94 
5547 |              37.8 |              8.71 |              2.01 |              0.23 |              1.35 |               4.05 
5548 |              37.8 |              9.04 |              1.24 |              0.27 |               2.7 |               1.62 
5549 |              28.8 |              5.65 |              2.74 |              0.28 |              20.7 |               2.97 
5550 |             134.4 |             25.01 |              8.58 |              0.35 |               4.8 |                8.8 
5551 |             134.4 |             25.01 |              8.58 |              0.35 |             382.4 |                8.8 
5552 |             43.75 |              9.85 |              2.36 |              0.35 |              1.25 |                  4 
5553 |             118.9 |                29 |              2.51 |              0.12 |              17.4 |                  0 
5554 |             102.5 |             22.16 |              5.08 |              1.27 |              16.4 |              10.05 
5555 |              46.8 |              6.89 |              3.82 |              1.57 |              20.8 |                5.2 
5556 |             47.85 |             11.04 |              2.97 |              0.18 |             34.65 |               1.82 
5557 |             38.44 |              9.45 |                 1 |              0.25 |              12.4 |               1.24 
5558 |             209.1 |             40.19 |             11.58 |              0.54 |              28.9 |               9.18 
5559 |              39.6 |              9.61 |              0.95 |              0.04 |                27 |               1.86 
5560 |             10.12 |              1.19 |              1.31 |              0.34 |              24.2 |               0.92 
5561 |              36.4 |              6.31 |              3.58 |              0.66 |              12.6 |                2.8 
5562 |              28.8 |              5.04 |              3.06 |              0.36 |              25.2 |                3.6 
5563 |             13.08 |              2.43 |               1.2 |              0.19 |             11.99 |                  0 
5564 |              21.6 |              3.83 |              2.34 |              0.31 |             192.6 |               2.52 
5565 |             22.35 |              4.89 |              2.01 |              0.07 |              29.8 |               2.98 
5566 |              17.6 |              3.61 |               1.5 |              0.17 |               4.8 |                  2 
5567 |             26.68 |               5.9 |               1.5 |              0.22 |              2.76 |               1.93 
5568 |              92.4 |             21.32 |              2.86 |               0.4 |               6.3 |               2.94 
5569 |             24.99 |              5.04 |              0.98 |              0.35 |             19.11 |               2.35 
5570 |             55.38 |             13.27 |              1.03 |              0.23 |               7.8 |               2.81 
5571 |              83.2 |             14.43 |               5.6 |              0.61 |                 8 |               4.96 
5572 |                49 |             12.01 |              1.76 |              0.17 |              2.45 |               2.69 
5573 |              20.1 |              4.42 |              1.46 |              0.11 |              8.04 |               1.21 
5574 |              20.7 |              4.08 |              1.71 |              0.22 |              50.6 |                  0 
5575 |              37.8 |              9.04 |              1.24 |              0.27 |               2.7 |               1.62 
5576 |              6.38 |              1.53 |              0.33 |              0.02 |              6.16 |               0.57 
5577 |                51 |             11.63 |              1.58 |              0.31 |               8.5 |               3.06 
5578 |              34.8 |              7.84 |              2.61 |              0.13 |              34.8 |               4.06 
5579 |              38.4 |              7.92 |              2.47 |              0.41 |               2.4 |               4.56 
5580 |              81.2 |             20.87 |              2.26 |              0.32 |               5.8 |               3.04 
5581 |              67.2 |             11.28 |              5.23 |              0.37 |               6.4 |               4.48 
5582 |             76.14 |              6.14 |              7.96 |              4.18 |               9.4 |               0.75 
5583 |             41.85 |             10.01 |              1.02 |               0.4 |              27.9 |               2.17 
5584 |              41.4 |              6.75 |              5.35 |              0.47 |               126 |               4.32 
5585 |                36 |              7.76 |              1.64 |              0.56 |               1.8 |               2.52 
5586 |              19.6 |              3.63 |              2.04 |              0.24 |            119.56 |               1.86 
5587 |               180 |             41.42 |              4.02 |               0.3 |                72 |                6.6 
5588 |             86.33 |             19.32 |              2.97 |              1.25 |              2.67 |                2.4 
5589 |                35 |              7.23 |              3.29 |              0.14 |            313.25 |               3.67 
5590 |             60.28 |              9.38 |               5.7 |              0.93 |             73.98 |                  0 
5591 |            187.44 |             45.67 |              0.69 |              0.15 |              19.8 |               6.73 
5592 |              43.2 |              9.62 |              2.28 |              0.26 |              26.4 |               1.68 
5593 |              28.8 |              6.28 |              1.64 |              0.33 |             41.76 |               5.04 
5594 |             34.32 |              7.89 |              1.11 |              0.12 |             24.96 |               3.12 
5595 |             43.68 |              8.25 |              3.39 |              0.73 |              3.12 |               3.43 
5596 |             75.85 |             18.14 |              1.82 |              0.72 |              2.05 |               5.74 
5597 |            157.76 |             37.37 |              2.03 |              0.19 |             10.88 |                5.3 
5598 |             43.75 |              9.85 |              2.36 |              0.35 |              3.75 |               4.12 
5599 |             85.44 |             18.67 |              3.03 |              1.33 |              0.89 |               2.14 
5600 |                27 |              4.84 |              2.05 |              0.65 |               5.4 |                1.8 
5601 |             30.52 |              4.29 |               0.6 |              1.53 |             61.04 |               0.45 
5602 |            421.58 |             43.67 |              8.82 |             24.15 |            539.28 |               2.35 
5603 |             327.5 |             42.42 |             11.05 |              12.6 |               705 |                  3 
5604 |             256.8 |              33.9 |             10.36 |             10.89 |             674.1 |               2.78 
5605 |            189.44 |             47.59 |              4.45 |              1.08 |            821.76 |               3.07 
5606 |            189.44 |             47.49 |              4.43 |              1.08 |           1052.16 |               3.07 
5607 |            184.32 |             46.34 |              4.45 |              1.08 |            821.76 |               3.07 
5608 |            184.32 |             46.23 |              4.43 |              1.08 |           1052.16 |               3.07 
5609 |             11.76 |              2.02 |              1.12 |              0.22 |              2.24 |                  0 
5610 |             130.5 |              27.3 |              4.28 |              0.51 |               5.8 |               7.25 
5611 |             10.44 |              1.74 |              1.48 |              0.09 |              2.52 |                  0 
5612 |             41.36 |              8.93 |               3.1 |              0.28 |              3.76 |                3.1 
5613 |            150.87 |             26.82 |              2.36 |              4.38 |             299.6 |                1.6 
5614 |             19.14 |              3.74 |              2.17 |              0.09 |              5.22 |               0.52 
5615 |              71.4 |              5.11 |              2.55 |              5.33 |             396.2 |               0.98 
5616 |              64.4 |              5.11 |              2.59 |              4.62 |               427 |               0.98 
5617 |              71.4 |              5.11 |              2.55 |              5.33 |             396.2 |               0.98 
5618 |              71.4 |              5.11 |              2.55 |              5.33 |             397.6 |               0.98 
5619 |             24.13 |              4.93 |              1.28 |              0.34 |              2.54 |               1.27 
5620 |               7.8 |              1.89 |              0.34 |              0.06 |              1.04 |               0.26 
5621 |              83.7 |             19.47 |              0.74 |              0.14 |             182.9 |               0.93 
5622 |              32.4 |              8.03 |              1.44 |              0.25 |             518.4 |               1.08 
5623 |             83.25 |              7.99 |              1.48 |              5.96 |            560.55 |               1.11 
5624 |              70.3 |              8.05 |              1.44 |              4.46 |            564.25 |               1.11 
5625 |              96.2 |              7.99 |              1.42 |              7.29 |            516.15 |               1.11 
5626 |              13.3 |              2.87 |              0.78 |              0.21 |              2.66 |               0.93 
5627 |              0.84 |              0.15 |              0.04 |              0.01 |              0.14 |               0.05 
5628 |             24.75 |              5.06 |              1.49 |              0.39 |              41.8 |               1.93 
5629 |              68.2 |              6.68 |              2.12 |              4.43 |             460.9 |               3.08 
5630 |              74.8 |              6.69 |              2.09 |              5.15 |             431.2 |               3.08 
5631 |            200.22 |             48.83 |              0.74 |              0.16 |            349.32 |               7.24 
5632 |            311.19 |             52.66 |              0.79 |             10.89 |            452.64 |               7.75 
5633 |               4.2 |              0.84 |              0.17 |               0.1 |            283.15 |               0.35 
5634 |             29.26 |              4.26 |              2.66 |              0.93 |              5.32 |               3.86 
5635 |             47.77 |              8.74 |              2.02 |              1.39 |              7.31 |               3.67 
5636 |              0.62 |              0.13 |              0.04 |              0.01 |              0.14 |               0.05 
5637 |             79.52 |             20.44 |              2.59 |               0.2 |               9.8 |              19.63 
5638 |             24.15 |              3.58 |              0.86 |              1.11 |              6.23 |               1.88 
5639 |             10.66 |              2.71 |              0.34 |              0.04 |              0.47 |               0.41 
5640 |             324.8 |             26.77 |             64.37 |              8.65 |           1173.76 |               4.03 
5641 |             13.44 |              1.74 |              1.97 |              0.29 |              1.89 |               0.42 
5642 |                37 |              8.53 |               2.1 |               0.2 |                42 |                3.2 
5643 |            128.62 |              8.98 |             13.24 |              5.58 |              7.08 |               5.66 
5644 |            184.08 |             16.73 |              7.86 |             10.15 |            290.28 |               4.01 
5645 |              20.5 |              4.82 |               0.8 |              0.15 |              1.64 |               2.46 
5646 |             332.2 |             26.22 |              5.35 |             24.07 |             138.6 |               6.16 
5647 |             32.67 |              8.06 |              0.82 |              0.23 |            236.61 |               2.48 
5648 |             188.3 |             46.48 |              4.41 |              1.24 |           2157.38 |              13.45 
5649 |            373.56 |             46.64 |              4.64 |             22.58 |           2331.92 |              13.58 
5650 |            328.28 |             46.86 |              4.47 |             17.09 |           2337.58 |              13.58 
5651 |            413.18 |              46.7 |              4.41 |             26.55 |           2167.78 |              13.58 
5652 |            312.84 |             17.19 |             13.05 |             22.14 |            704.88 |               3.76 
5653 |             66.64 |             13.29 |              1.22 |              0.95 |           2276.64 |                3.4 
5654 |            186.12 |              15.8 |             11.84 |               9.4 |            637.56 |               3.56 
5655 |              4.25 |              0.84 |              0.31 |              0.05 |               5.5 |               0.78 
5656 |              1.85 |              0.39 |              0.13 |              0.01 |              0.15 |               0.14 
5657 |              0.26 |              0.06 |                 0 |                 0 |              0.34 |               0.03 
5658 |               150 |             31.68 |               4.6 |               1.8 |                12 |                  0 
5659 |              24.7 |              3.96 |              1.48 |              0.23 |             395.2 |               3.64 
5660 |              56.7 |              3.98 |              1.53 |              3.92 |            425.25 |               3.65 
5661 |              48.6 |              4.01 |               1.5 |              2.97 |             426.6 |               3.65 
5662 |             63.45 |              3.98 |              1.49 |              4.59 |             396.9 |               3.65 
5663 |               160 |             11.98 |              4.88 |              10.4 |               478 |                  3 
5664 |             26.97 |              6.35 |              1.08 |              0.17 |             45.24 |                2.7 
5665 |            178.76 |             24.35 |              4.23 |              9.33 |           1009.34 |              10.25 
5666 |            159.14 |             24.42 |              4.14 |              7.04 |           1011.52 |              10.25 
5667 |            198.38 |             24.33 |              4.14 |             11.34 |            939.58 |              10.25 
5668 |             23.69 |              4.42 |              1.08 |              0.63 |              7.82 |               2.44 
5669 |              1.08 |              0.17 |              0.13 |              0.02 |              1.56 |               0.13 
5670 |              47.2 |              7.11 |              0.29 |              2.34 |             290.8 |               0.52 
5671 |               252 |             36.07 |              1.47 |             13.27 |                 5 |                2.6 
5672 |             374.4 |             76.32 |              3.34 |              6.36 |              79.2 |               6.72 
5673 |                16 |              2.75 |               1.3 |              0.35 |                 7 |               0.55 
5674 |            202.64 |             44.96 |              8.65 |              0.68 |             23.12 |               2.86 
5675 |               1.6 |              0.36 |              0.04 |              0.01 |              0.26 |               0.04 
5676 |                19 |              4.13 |              1.14 |              0.19 |              2.85 |               1.05 
5677 |              8.12 |              1.97 |              0.36 |              0.01 |              1.16 |               0.29 
5678 |              2.76 |              0.47 |              0.17 |              0.08 |            114.12 |                0.4 
5679 |             13.02 |              2.42 |              0.78 |               0.3 |              1.26 |               1.54 
5680 |              44.1 |              3.96 |              2.74 |              2.27 |            242.55 |               1.78 
5681 |             47.52 |             12.26 |              0.58 |              0.18 |            125.28 |                1.4 
5682 |             33.81 |              5.52 |              0.26 |              1.47 |              0.23 |               0.62 
5683 |              29.8 |              6.91 |              1.28 |              0.25 |              4.47 |               2.53 
5684 |             19.84 |               3.9 |              1.89 |              0.19 |             14.72 |               2.05 
5685 |             29.19 |              6.39 |                 1 |              0.38 |            551.83 |               2.36 
5686 |               5.4 |              1.03 |              0.49 |              0.05 |             10.08 |               0.47 
5687 |             31.32 |              8.41 |              0.21 |              0.05 |              1.35 |               0.62 
5688 |                31 |              6.97 |              1.83 |              0.22 |                 6 |                2.7 
5689 |              41.4 |              9.18 |              2.16 |              0.36 |              23.4 |               1.98 
5690 |                91 |              8.85 |              3.38 |              5.78 |            460.25 |                5.6 
5691 |             78.52 |              7.64 |              2.91 |              4.98 |            397.13 |               4.83 
5692 |             92.96 |              9.33 |              4.91 |              5.41 |            446.54 |               4.48 
5693 |             67.68 |              7.32 |              6.85 |              2.06 |            492.48 |               4.03 
5694 |             13.65 |               3.5 |              0.23 |              0.07 |            163.65 |               0.23 
5695 |                18 |              4.26 |               0.9 |              0.09 |              3.15 |               0.68 
5696 |              46.4 |             10.09 |              2.32 |              0.58 |              8.12 |               4.52 
5697 |              7.83 |              1.81 |              0.22 |              0.11 |              0.27 |               0.27 
5698 |              36.8 |              7.35 |              1.68 |              0.16 |               1.6 |               2.64 
5699 |             10.08 |              2.14 |              0.65 |               0.1 |               7.2 |               0.86 
5700 |               4.9 |              1.23 |              0.15 |              0.02 |               6.7 |               0.13 
5701 |            167.32 |             28.93 |              9.55 |              3.68 |              28.2 |                4.7 
5702 |              26.1 |              5.85 |              0.82 |              0.33 |               2.7 |               2.52 
5703 |             109.5 |             26.16 |                 3 |              0.01 |                 6 |                2.4 
5704 |             24.75 |              6.68 |              0.48 |              0.04 |              8.91 |                  0 
5705 |             32.19 |              6.34 |               3.2 |              0.17 |              9.57 |               1.74 
5706 |              9.52 |              1.62 |               1.3 |              0.07 |              2.24 |                  0 
5707 |               5.6 |              0.71 |              0.47 |              0.24 |              8.48 |               0.66 
5708 |              57.2 |              6.89 |              3.82 |              1.57 |             327.6 |               2.99 
5709 |             87.36 |              9.06 |              3.11 |              5.39 |             554.4 |               3.19 
5710 |             95.76 |              9.07 |              3.06 |              6.28 |            517.44 |               3.19 
5711 |              70.2 |              7.28 |               2.5 |              4.33 |             445.5 |               2.56 
5712 |             76.95 |              7.29 |              2.46 |              5.05 |             415.8 |               2.56 
5713 |              72.9 |              6.76 |              3.71 |              4.46 |             434.7 |               2.56 
5714 |              78.3 |              6.78 |              3.67 |              5.16 |               405 |               2.56 
5715 |              78.3 |              6.78 |              3.67 |              5.16 |               405 |               2.56 
5716 |             26.32 |              4.59 |               2.5 |              0.43 |              14.1 |               1.88 
5717 |             16.25 |               4.1 |              0.54 |              0.04 |              0.94 |               0.62 
