Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
2870 |              92.4 |             22.11 |              0.62 |              0.14 |               1.4 |               4.34 
2871 |              3.92 |               0.1 |              0.03 |              0.41 |             42.01 |               0.09 
2872 |              74.2 |             15.68 |              2.66 |              0.98 |                 0 |                  0 
2873 |            148.09 |             37.47 |              0.28 |              0.43 |             20.08 |               0.25 
2874 |             160.8 |             44.55 |                 1 |              0.23 |              20.1 |               4.02 
2875 |             85.68 |             22.56 |              0.76 |              0.33 |              9.52 |               8.57 
2876 |             337.9 |             80.07 |              5.61 |              2.11 |               6.2 |              11.78 
2877 |             112.2 |             23.63 |              4.21 |              1.57 |               3.3 |               8.91 
2878 |              61.2 |             15.45 |              0.92 |              0.24 |              30.6 |               1.36 
2879 |            102.52 |             17.61 |              4.15 |              2.94 |              4.66 |                  0 
2880 |            156.75 |             38.36 |              2.84 |              1.06 |               3.3 |               2.48 
2881 |            163.76 |             42.61 |              0.64 |              0.25 |             19.58 |                1.6 
2882 |                81 |             21.01 |              0.97 |              0.31 |              18.9 |                  0 
2883 |             12.15 |              0.84 |              0.15 |              1.03 |            110.25 |               0.38 
2884 |             109.8 |             26.39 |              2.05 |              0.94 |               5.4 |                5.4 
2885 |             51.03 |             12.79 |              0.83 |              0.23 |              2.43 |               1.13 
2886 |             13.72 |              3.31 |              0.18 |              0.08 |              0.98 |               0.62 
2887 |             13.49 |              3.02 |              0.36 |              0.16 |               1.9 |               1.24 
2888 |             53.68 |             16.84 |              0.85 |              0.59 |              2.44 |               0.73 
2889 |              2.82 |              0.96 |              0.09 |              0.02 |              0.36 |               0.64 
2890 |             61.48 |             19.76 |              2.33 |              0.64 |              4.24 |               5.94 
2891 |              60.5 |             20.38 |              1.02 |              0.17 |              4.84 |               0.97 
2892 |             51.66 |             16.46 |              0.61 |              0.57 |             39.36 |               0.98 
2893 |              20.1 |              7.06 |              0.47 |              0.13 |              1.34 |               1.88 
2894 |             125.4 |             31.41 |              1.58 |              0.84 |               1.9 |               2.47 
2895 |             80.85 |             19.14 |              2.23 |              0.46 |              1.47 |               7.79 
2896 |              1.92 |              0.48 |              0.04 |                 0 |                 0 |               0.04 
2897 |             70.03 |             18.09 |              0.64 |               0.3 |              1.49 |               2.53 
2898 |             380.8 |             98.64 |              5.83 |              0.74 |             15.47 |                  0 
2899 |               217 |             56.17 |              2.54 |              0.81 |             12.25 |               9.45 
2900 |            431.46 |            105.75 |              4.23 |              4.23 |             126.9 |              25.38 
2901 |              16.8 |              4.19 |              0.23 |              0.11 |              0.28 |               0.45 
2902 |            128.01 |             32.93 |              0.28 |              0.15 |             12.55 |               0.75 
2903 |             36.96 |              9.21 |              0.16 |              0.07 |              0.56 |               0.31 
2904 |                99 |             24.72 |              1.35 |              0.63 |              1.65 |               2.64 
2905 |            143.08 |              35.1 |               0.8 |              1.14 |             13.72 |               3.53 
2906 |              8.25 |               2.1 |              0.01 |              0.01 |               0.2 |               0.16 
2907 |             66.48 |             17.99 |              0.43 |              0.04 |              0.24 |               1.61 
2908 |             57.09 |             13.74 |              1.45 |              0.43 |             53.63 |               1.21 
2909 |              60.2 |             13.72 |              2.02 |              0.55 |                14 |               2.38 
2910 |              3.42 |              0.84 |              0.05 |              0.03 |              0.06 |               0.23 
2911 |             32.76 |              4.51 |              4.13 |              0.45 |               351 |                1.4 
2912 |             10.54 |              2.53 |              0.06 |              0.14 |              0.89 |               0.78 
2913 |             81.76 |             19.01 |              0.74 |               1.3 |              3.36 |                8.4 
2914 |             80.85 |             20.69 |               1.5 |              0.25 |              1.65 |               3.63 
2915 |             222.7 |             55.52 |              2.62 |              0.79 |                 0 |               4.19 
2916 |             62.92 |             15.09 |              1.52 |              0.46 |                 0 |               2.43 
2917 |              39.2 |              9.58 |              0.53 |              0.31 |               1.4 |                  0 
2918 |               3.3 |              0.71 |              0.18 |              0.02 |             24.86 |                0.3 
2919 |              9.74 |              0.51 |              0.07 |              0.92 |             61.74 |               0.13 
2920 |              1.05 |              0.06 |              0.01 |               0.1 |              7.35 |               0.03 
2921 |            188.16 |              5.91 |              1.53 |             19.43 |            1969.8 |               4.56 
2922 |              1.24 |              0.06 |              0.01 |              0.12 |              9.81 |               0.03 
2923 |             111.6 |             25.79 |              1.74 |               0.5 |              2.48 |                0.5 
2924 |                42 |             10.04 |              0.68 |              0.07 |                 5 |                0.3 
2925 |             14.88 |              3.55 |              0.21 |              0.04 |              0.62 |               0.09 
2926 |            122.01 |             28.73 |              1.69 |               0.3 |              4.98 |               0.75 
2927 |            117.03 |             28.06 |              1.69 |               0.3 |              4.98 |               0.75 
